Year,Population
2021,1393409038.00
2020,1380004385.00
2019,1366417754.00
2018,1352642280.00
2017,1338676785.00
2016,1324517249.00
2015,1310152403.00
2014,1295600772.00
2013,1280842125.00
2012,1265780247.00
2011,1250287943.00
2010,1234281170.00
2009,1217726215.00
2008,1200669765.00
2007,1183209472.00
2006,1165486291.00
2005,1147609927.00
2004,1129623456.00
2003,1111523144.00
2002,1093317189.00
2001,1075000085.00
2000,1056575549.00
1999,1038058156.00
1998,1019483581.00
1997,1000900030.00
1996,982365243.00
1995,963922588.00
1994,945601831.00
1993,927403860.00
1992,909307016.00
1991,891273209.00
1990,873277798.00
1989,855334678.00
1988,837468930.00
1987,819682102.00
1986,801975244.00
1985,784360008.00
1984,766833410.00
1983,749428958.00
1982,732239504.00
1981,715384993.00
1980,698952844.00
1979,682995354.00
1978,667499806.00
1977,652408776.00
1976,637630087.00
1975,623102897.00
1974,608802600.00
1973,594770134.00
1972,581087256.00
1971,567868018.00
1970,555189792.00
1969,543084336.00
1968,531513824.00
1967,520400576.00
1966,509631500.00
1965,499123324.00
1964,488848135.00
1963,478825608.00
1962,469077190.00
1961,459642165.00
1960,450547679.00
1959,441798578.00
1958,433380978.00
1957,425270695.00
1956,417442811.00
1955,409880595.00
1954,402578596.00
1953,395544369.00
1952,388799073.00
1951,382376948.00
1950,376325200.00
